"Index","TrialType","number_ANNs_correct","human_score_difference","Plausible","Implausible"
1,"AAN",0,0.11,"The nomad cherished the clergyman.","The clergyman cherished the nomad."
2,"AAN",0,0.24,"The vagabond revered the priest.","The priest revered the vagabond."
3,"AAN",0,0.54,"The craftsman taught the trainee.","The trainee taught the craftsman."
4,"AAN",0,0.16,"The environmentalist cautioned the tobacconist.","The tobacconist cautioned the environmentalist."
5,"AAN",0,0.54,"The lion chased the tour-guide.","The tour-guide chased the lion."
6,"AI",0.25,0.45,"The milliner adorned the fedora.","The fedora adorned the milliner."
7,"AAN",0.25,-0.07,"The pixie mesmerized the ogre.","The ogre mesmerized the pixie."
8,"AAN",0.25,-0.11,"The orderly assisted the dentist.","The dentist assisted the orderly."
9,"AAN",0.25,0.12,"The biker defied the trainer.","The trainer defied the biker."
10,"AAN",0.25,0.06,"The prodigy surprised the relative.","The relative surprised the prodigy."
11,"AAN",0.25,-0.01,"The liar emulated the victor.","The victor emulated the liar."
12,"AAN",0.25,0.21,"The deceiver imitated the conqueror.","The conqueror imitated the deceiver."
13,"AAN",0.25,0.03,"The neuroscientist overwhelmed the lab assistant.","The lab assistant overwhelmed the neuroscientist."
14,"AAN",0.25,0.12,"The warmonger terrorized the gunsmith.","The gunsmith terrorized the warmonger."
