"Index","TrialType","number_ANNs_correct","human_score_difference","Plausible","Implausible"
1,"AAN",0,0.56,"The visitor is pushing the patient.","The patient is pushing the visitor."
2,"DTFit",0,0.41,"The ant stacked the supply.","The ant stacked the suitcase."
3,"DTFit",0,0.34,"The child crossed the park.","The child crossed the river."
4,"DTFit",0,0.44,"The child drank the coke.","The child drank the beer."
5,"DTFit",0,0.48,"The child wrote the conjugation.","The child wrote the diagnosis."
6,"DTFit",0,0.29,"The guest held the drink.","The guest held the camera."
7,"DTFit",0,0.07,"The magician read the hand.","The magician read the newspaper."
8,"DTFit",0,0.34,"The policeman hit the demonstrator.","The policeman hit the ball."
9,"DTFit",0,0.25,"The porter stacked the suitcase.","The porter stacked the wood."
10,"DTFit",0,0.42,"The woman painted the toenail.","The woman painted the sign."
11,"DTFit",0.2,0.65,"The archeologist examined the epigraph.","The archeologist examined the dog."
12,"DTFit",0.2,0.52,"The carver built the sculpture.","The carver built the house."
13,"DTFit",0.2,0.38,"The dog pulled the sled.","The dog pulled the trigger."
14,"DTFit",0.2,0.38,"The painter signed the paint.","The painter signed the agreement."
15,"DTFit",0.2,0.33,"The policeman pushed the demonstrator.","The policeman pushed the stroller."
16,"DTFit",0.2,0.78,"The sailor faced the ocean.","The sailor faced the wall."
17,"DTFit",0.2,0.39,"The skater rode the skates.","The skater rode the bus."
18,"AAN",0.4,0.84,"The professor is lecturing to the student.","The student is lecturing to the professor."
19,"AAN",0.4,0.68,"The lawyer is giving money to the beggar.","The beggar is giving money to the lawyer."
20,"AAN",0.4,0.31,"The father is tying the son's shoes.","The son is tying the father's shoes."
21,"DTFit",0.4,0.4,"The businessman wore the tie.","The businessman wore the uniform."
22,"DTFit",0.4,0.23,"The child celebrated the birthday.","The child celebrated the victory."
23,"DTFit",0.4,0.6,"The child cut the paper.","The child cut the tree."
24,"DTFit",0.4,-0.12,"The child drew the flower.","The child drew the horse."
25,"DTFit",0.4,0.72,"The child threw the snowball.","The child threw the spear."
26,"DTFit",0.4,0.75,"The coach checked the team.","The coach checked the car."
27,"DTFit",0.4,0.35,"The cook bought the food.","The cook bought the ticket."
28,"DTFit",0.4,0.64,"The doctor offered the support.","The doctor offered the breakfast."
29,"DTFit",0.4,0.55,"The engineer drew the turbine.","The engineer drew the flower."
30,"DTFit",0.4,0.37,"The hiker faced the mountain.","The hiker faced the camera."
31,"DTFit",0.4,0.33,"The mechanic spread the coating.","The mechanic spread the chocolate."
32,"DTFit",0.4,0.62,"The patient fought the cancer.","The patient fought the fire."
33,"DTFit",0.4,0.3,"The professor opened the congress.","The professor opened the jail."
34,"DTFit",0.4,0.43,"The soldier hung the rifle.","The soldier hung the picture."
35,"DTFit",0.4,-0.06,"The spectator heard the speech.","The spectator heard the horn."
36,"DTFit",0.4,0.01,"The student drank the coffee.","The student drank the milk."
